SiteCode,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,TowerHeight,CanopyHeight,Tier,Exclude,Exclude_reason
AR-SLu,San Luis,-33.4648,-66.4598,500,MF,Mixed Forests,NA,NA,1,FALSE,NA
AR-Vir,Virasoro,-28.2395,-56.1886,91,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
AT-Neu,Neustift,47.116669,11.3175,970,GRA,Grasslands,3,NA,1,FALSE,NA
AU-Ade,Adelaide River,-13.0769,131.1178,165,WSA,Woody Savannas,15,NA,1,FALSE,NA
AU-ASM,Alice Springs,-22.283,133.249,606,ENF,Evergreen Needleleaf Forests,13.7,6.5,1,FALSE,NA
AU-Cpr,Calperum,-34.00206,140.58912,76,SAV,Savannas,NA,NA,1,FALSE,NA
AU-Cum,Cumberland Plains,-33.613297,150.722466,200,EBF,Evergreen Broadleaf Forests,30,23,1,FALSE,NA
AU-DaP,Daly River Savanna,-14.0633,131.3181,116,GRA,Grasslands,15,0.3,1,FALSE,NA
AU-DaS,Daly River Cleared,-14.159283,131.388,108,SAV,Savannas,23,16.4,1,FALSE,NA
AU-Dry,Dry River,-15.2588,132.3706,191,SAV,Savannas,15,12.3,1,FALSE,NA
AU-Emr,"Emerald, Queensland, Australia",-23.8587,148.4746,177,GRA,Grasslands,NA,NA,1,FALSE,NA
AU-Fog,Fogg Dam,-12.5452,131.3072,25,WET,Permanent Wetlands,15,NA,1,FALSE,NA
AU-Gin,Gingin,-31.375,115.65,51,WSA,Woody Savannas,14,7,1,FALSE,NA
AU-GWW,"Great Western Woodlands, Western Australia, Australia",-30.1913,120.6541,504,SAV,Savannas,NA,NA,1,FALSE,NA
AU-How,Howard Springs,-12.4952,131.15,41,WSA,Woody Savannas,23,16,1,FALSE,NA
AU-Lox,Loxton,-34.4704,140.6551,62,DBF,Deciduous Broadleaf Forests,NA,NA,1,FALSE,NA
AU-RDF,"Red Dirt Melon Farm, Northern Territory",-14.5636,132.4776,237,WSA,Woody Savannas,NA,NA,1,FALSE,NA
AU-Rig,Riggs Creek,-36.656,145.576,133,GRA,Grasslands,4,NA,1,FALSE,NA
AU-Rob,"Robson Creek, Queensland, Australia",-17.117441,145.630168,710,EBF,Evergreen Broadleaf Forests,NA,44,1,FALSE,NA
AU-Stp,Sturt Plains,-17.1508,133.3503,252,GRA,Grasslands,5,NA,1,FALSE,NA
AU-TTE,Ti Tree East,-22.287,133.64,553,OSH,Open Shrublands,10,4.85,1,FALSE,NA
AU-Wac,Wallaby Creek,-37.429,145.18725,562,EBF,Evergreen Broadleaf Forests,110,75,1,FALSE,NA
AU-Whr,Whroo,-36.6732,145.0294,152,EBF,Evergreen Broadleaf Forests,36,NA,1,FALSE,NA
AU-Wom,Wombat,-37.4222,144.0944,705,EBF,Evergreen Broadleaf Forests,NA,25,1,FALSE,NA
AU-Ync,Jaxa,-34.988282,146.291606,125,GRA,Grasslands,NA,NA,1,FALSE,NA
BE-Bra,Brasschaat,51.309167,4.52056,16,MF,Mixed Forests,39,NA,1,FALSE,NA
