Fluxnet_variable,Fluxnet_unit,Fluxnet_class,ALMA_variable,ALMA_unit,Longname,CF_name,Data_min,Data_max,Essential_met,Preferred_eval,Category
TA_F_MDS,C,numeric,Tair,K,Near surface air temperature,air_temperature,200,333,TRUE,FALSE,Met
TA_F_MDS_QC,-,integer,Tair_qc,-,Tair quality control flag,NA,0,3,FALSE,FALSE,Met
SW_IN_F_MDS,W/m^2,numeric,SWdown,W/m^2,Surface incident shortwave radiation,downwelling_shortwave_flux_in_air,0,1360,TRUE,FALSE,Met
SW_IN_F_MDS_QC,-,integer,SWdown_qc,-,SWdown quality control flag,NA,0,3,FALSE,FALSE,Met
SW_OUT,W/m^2,numeric,SWup,W/m^2,Reflected shortwave radiation,surface_upwelling_shortwave_flux_in_air,0,1360,FALSE,FALSE,Eval
SW_OUT_QC,-,integer,SWup_qc,-,SWup quality control flag,NA,0,3,FALSE,FALSE,Eval
LW_IN_F_MDS,W/m^2,numeric,LWdown,W/m^2,Surface incident longwave radiation,downwelling_longwave_flux_in_air,0,750,FALSE,FALSE,Met
LW_IN_F_MDS_QC,-,integer,LWdown_qc,-,LWdown quality control flag,NA,0,3,FALSE,FALSE,Met
VPD_F_MDS,hPa,numeric,VPD,,Vapour pressure defitic,water_vapor_saturation_deficit_in_air,0,,TRUE,FALSE,Met
VPD_F_MDS_QC,-,integer,VPD_qc,-,VPD quality control flag,NA,0,3,FALSE,FALSE,Met
PA,kPa,numeric,Psurf,Pa,Surface air pressure,air_pressure,50000,110000,FALSE,FALSE,Met
P,mm,numeric,Rainf,mm/s,Rainfall rate,precipitation_flux,0,0.05,TRUE,FALSE,Met
WS,m/s,numeric,Wind,m/s,Scalar windspeed,wind_speed,0,75,TRUE,FALSE,Met
RH,%,numeric,RelH,%,Near surface relative humidity,relative_humidty,0,100,FALSE,FALSE,Met
NETRAD,W/m^2,numeric,Rnet,W/m^2,Net absorbed radiation,surface_net_downward_radiative_flux,-1000,1360,FALSE,TRUE,Eval
NETRAD_QC,-,integer,Rnet_qc,-,Rnet quality control flag,NA,0,3,FALSE,FALSE,Eval
CO2_F_MDS,umolCO2/mol,numeric,CO2air,ppmv,Near surface CO2 concentration,,300,500,FALSE,FALSE,Eval
CO2_F_MDS_QC,-,integer,CO2air_qc,-,CO2air quality control flag,NA,0,3,FALSE,FALSE,Eval
G_F_MDS,W/m^2,numeric,Qg,W/m^2,Ground heat flux,,-1000,1000,FALSE,FALSE,Eval
G_F_MDS_QC,-,numeric,Qg_qc,-,Qg quality control flag,NA,0,3,FALSE,FALSE,Eval
LE_F_MDS,W/m^2,numeric,Qle,W/m^2,Latent heat flux from surface,surface_upward_latent_heat_flux,-1000,1000,FALSE,TRUE,Eval
LE_F_MDS_QC,-,integer,Qle_qc,-,Qle quality control flag,NA,0,3,FALSE,FALSE,Eval
LE_CORR,W/m^2,numeric,Qle_cor,W/m^2,"Latent heat flux from surface, corrected for energy balance closure",surface_upward_latent_heat_flux,-1000,1000,FALSE,FALSE,Eval
LE_CORR_JOINTUNC,W/m^2,numeric,Qle_cor_uc,W/m^2,Qle_cor joint uncertainty,NA,-1000,1000,FALSE,FALSE,Eval
H_F_MDS,W/m^2,numeric,Qh,W/m^2,Sensible heat flux from surface,surface_upward_sensible_heat_flux,-1000,1000,FALSE,TRUE,Eval
H_F_MDS_QC,-,integer,Qh_qc,-,Qh quality control flag,NA,0,3,FALSE,FALSE,Eval
H_CORR,W/m^2,numeric,Qh_cor,W/m^2,"Sensible heat flux from surface, corrected for energy balance closure",surface_upward_sensible_heat_flux,-1000,1000,FALSE,FALSE,Eval
H_CORR_JOINTUNC,W/m^2,numeric,Qh_cor_uc,W/m^2,Qh_cor joint uncertainty,NA,-1000,1000,FALSE,FALSE,Eval
NEE_VUT_REF,umol/m^2/s,numeric,NEE,umol/m^2/s,Net ecosystem exchange of CO2 (variable ustar),surface_upward_mole_flux_of_carbon_dioxide,-100,100,FALSE,TRUE,Eval
NEE_VUT_REF_JOINTUNC,umol/m^2/s,numeric,NEE_uc,umol/m^2/s,Net ecosystem exchange of CO2 uncertainty (variable ustar),NA,-100,100,FALSE,FALSE,Eval
GPP_DT_VUT_REF,umol/m^2/s,numeric,GPP_DT,umol/m^2/s,"Gross primary productivity of CO2 (variable ustar, daytime partitioning)",,-100,100,FALSE,FALSE,Eval
GPP_DT_VUT_SE,umol/m^2/s,numeric,GPP_DT_se,umol/m^2/s,"Gross primary productivity of CO2 standard error (variable ustar, daytime partitioning)",NA,-100,100,FALSE,FALSE,Eval
GPP_NT_VUT_REF,umol/m^2/s,numeric,GPP,umol/m^2/s,"Gross primary productivity of CO2 (variable ustar, nighttime partitioning)",,-100,100,FALSE,FALSE,Eval
GPP_NT_VUT_SE,umol/m^2/s,numeric,GPP_se,umol/m^2/s,"Gross primary productivity of CO2 standard error (variable ustar, nighttime partitioning)",NA,-100,100,FALSE,FALSE,Eval
