site,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
AT-Neu,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Open,Open,
AU-Fog,,,,,,,,,,,,,,,,Fair_Use,Fair_Use
AU-How,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
AU-Tum,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
AU-Wac,,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use
BE-Bra,,,,,,,Fair_Use,Fair_Use,,Fair_Use,Fair_Use,Fair_Use,,Fair_Use,Fair_Use,Fair_Use,
BE-Jal,,,,,,,,,,,,,,,,Fair_Use,
BE-Lon,,,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,
BE-Vie,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,
BR-Ban,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,
BR-Cax,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,,
BR-Ji1,,,,,,,,,LaThuile_2007,,,,,,,,
BR-Ji2,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,,,
BR-Ma2,,,,,,,,,LaThuile_2007,LaThuile_2007,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,
BR-Sa1,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,,
BR-Sa2,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,,,,
BR-Sa3,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,
BR-Sp1,,,,,,,,,,,LaThuile_2007,LaThuile_2007,,,,,
BW-Ghg,,,,,,,,,,,,,Fair_Use,,,,
BW-Ghm,,,,,,,,,,,,,Fair_Use,,,,
BW-Ma1,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,,,,,,
CA-Ca1,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Ca2,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Ca3,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Gro,,,,,,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Let,,,,,,,,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,LaThuile_2007,,
CA-Man,,,,Fair_Use,Fair_Use,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,,,
CA-Mer,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
CA-NS1,,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
CA-NS2,,,,,,,,,,,Fair_Use,Fair_Use,Fair_Use,Fair_Use,Fair_Use,,
