Fluxnet_variable,Fluxnet_unit,Fluxnet_class,Output_variable,Output_unit,Longname,Standard_name,CMIP_short_name,Data_min,Data_max,Essential_met,Preferred_eval,Category,ERAinterim_variable,Aggregate_method
TA_F_MDS,C,numeric,Tair,K,Near surface air temperature,air_temperature,tas,200,333,1,FALSE,Met,TA_ERA,mean
TA_F_MDS_QC,-,integer,Tair_qc,-,Tair quality control flag,NULL,NULL,0,5,NA,FALSE,Met,NA,NA
SW_IN_F_MDS,W/m2,numeric,SWdown,W/m2,Surface incident shortwave radiation,surface_downwelling_shortwave_flux_in_air,rsds,0,1360,1,FALSE,Met,SW_IN_ERA,mean
SW_IN_F_MDS_QC,-,integer,SWdown_qc,-,SWdown quality control flag,NULL,NULL,0,5,NA,FALSE,Met,NA,NA
LW_IN_F_MDS,W/m2,numeric,LWdown,W/m2,Surface incident longwave radiation,surface_downwelling_longwave_flux_in_air,rlds,0,750,2,FALSE,Met,LW_IN_ERA,mean
LW_IN_F_MDS_QC,-,integer,LWdown_qc,-,LWdown quality control flag,NULL,NULL,0,5,2,FALSE,Met,NA,NA
VPD_F_MDS,hPa,numeric,VPD,hPa,Vapour pressure deficit,water_vapor_saturation_deficit_in_air,NULL,0,100,1,FALSE,Met,VPD_ERA,mean
VPD_F_MDS_QC,-,integer,VPD_qc,-,VPD quality control flag,NULL,NULL,0,5,NA,FALSE,Met,NA,NA
PA,kPa,numeric,Psurf,Pa,Surface air pressure,surface_air_pressure,ps,50000,110000,2,FALSE,Met,PA_ERA,mean
P,mm,numeric,Precip,kg/m2/s,Precipitation rate,precipitation_flux,pr,0,0.05,1,FALSE,Met,P_ERA,sum
WS,m/s,numeric,Wind,m/s,Scalar windspeed,wind_speed,ws,0,75,2,FALSE,Met,WS_ERA,mean
RH,%,numeric,RH,%,Near surface relative humidity,relative_humidty,hur,0,100,1,FALSE,Met,VPD_ERA,mean
VPD_F_MDS,hPa,numeric,Qair,kg/kg,Near surface specific humidity,specific_humidity,huss,0,0.1,1,FALSE,Met,VPD_ERA,mean
CO2_F_MDS,umolCO2/mol,numeric,CO2air,ppm,Near surface CO2 concentration,mole_fraction_of_carbon_dioxide_in_air,co2c,200,900,NA,FALSE,Eval,NA,mean
CO2_F_MDS_QC,-,integer,CO2air_qc,-,CO2air quality control flag,NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
SW_OUT,W/m2,numeric,SWup,W/m2,Reflected shortwave radiation,surface_upwelling_shortwave_flux_in_air,rsus,-100,1360,NA,FALSE,Eval,NA,mean
SW_OUT_QC,-,integer,SWup_qc,-,SWup quality control flag,NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
NETRAD,W/m2,numeric,Rnet,W/m2,Net absorbed radiation,surface_net_downward_radiative_flux,NULL,-1000,1360,NA,TRUE,Eval,NA,mean
NETRAD_QC,-,integer,Rnet_qc,-,Rnet quality control flag,NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
G_F_MDS,W/m2,numeric,Qg,W/m2,Ground heat flux,surface_downward_heat_flux,hfds,-1000,1000,NA,FALSE,Eval,NA,mean
G_F_MDS_QC,-,numeric,Qg_qc,-,Qg quality control flag,NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
LE_F_MDS,W/m2,numeric,Qle,W/m2,Latent heat flux from surface,surface_upward_latent_heat_flux,hfls,-1000,1000,NA,TRUE,Eval,NA,mean
LE_F_MDS_QC,-,integer,Qle_qc,-,Qle quality control flag,NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
LE_CORR,W/m2,numeric,Qle_cor,W/m2,"Latent heat flux from surface, corrected for energy balance closure",surface_upward_latent_heat_flux,hfls,-1000,1200,NA,FALSE,Eval,NA,mean
LE_CORR_JOINTUNC,W/m2,numeric,Qle_cor_uc,W/m2,Qle_cor joint uncertainty,NULL,NULL,-1000,1300,NA,FALSE,Eval,NA,mean
