Fluxnet_variable,Fluxnet_unit,Fluxnet_class,Output_variable,Output_unit,Longname,Standard_name,CMIP_short_name,Data_min,Data_max,Essential_met,Preferred_eval,Category,ERAinterim_variable,Aggregate_method
Ta_f,C,numeric,Tair,K,Near surface air temperature,air_temperature,tas,200,333,1,FALSE,Met,NA,mean
Ta_fqc,-,numeric,Tair_qc,-,Tair quality control flag,NULL,NULL,0,5,NA,FALSE,Met,NA,NA
PPFD_f,umol/m2/s,numeric,SWdown,W/m2,Surface incident shortwave radiation,surface_downwelling_shortwave_flux_in_air,rsds,0,1360,1,FALSE,Met,NA,mean
PPFD_fqc,-,numeric,SWdown_qc,-,Swdown quality control flag,NULL,NULL,0,5,NA,FALSE,Met,NA,NA
LWin,W/m2,numeric,LWdown,W/m2,Surface incident longwave radiation,surface_downwelling_longwave_flux_in_air,rlds,0,750,2,FALSE,Met,NA,mean
VPD_f,hPa,numeric,VPD,hPa,Vapour pressure deficit,water_vapor_saturation_deficit_in_air,NULL,0,100,1,FALSE,Met,NA,mean
VPD_fqc,-,numeric,VPD_qc,-,VPD quality control flag,NULL,NULL,0,5,NA,FALSE,Met,NA,NA
VPD_f,hPa,numeric,Qair,kg/kg,Near surface specific humidity,specific_humidity,huss,0,0.1,1,FALSE,Met,NA,mean
Precip_f,mm,numeric,Precip,kg/m2/s,Precipitation rate,precipitation_flux,pr,0,0.05,1,FALSE,Met,NA,sum
Precip_fqc,-,numeric,Precip_qc,-,Precip quality control flag,NULL,NULL,0,5,NA,FALSE,Met,NA,NA
WS_f,m/s,numeric,Wind,m/s,Scalar windspeed,wind_speed,ws,0,75,2,FALSE,Met,NA,mean
WS_fqc,-,numeric,Wind_qc,-,Wind quality control flag,NULL,NULL,0,5,NA,FALSE,Met,NA,NA
Rh,%,numeric,RH,%,Near surface relative humidity,relative_humidty,hur,0,100,1,FALSE,Met,NA,mean
CO2,umolCO2/mol,numeric,CO2air,ppm,Near surface CO2 concentration,mole_fraction_of_carbon_dioxide_in_air,co2c,200,600,NA,FALSE,Eval,NA,mean
SWout,W/m2,numeric,SWup,W/m2,Reflected shortwave radiation,surface_upwelling_shortwave_flux_in_air,rsus,-100,1360,NA,FALSE,Eval,NA,mean
Rn_f,W/m2,numeric,Rnet,W/m2,Net absorbed radiation,surface_net_downward_radiative_flux,NULL,-1000,1360,NA,TRUE,Eval,NA,mean
Rn_fqc,-,numeric,Rnet_qc,-,Rnet quality control flag,NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
G_f,W/m2,numeric,Qg,W/m2,Ground heat flux,surface_downward_heat_flux,hfds,-1000,1000,NA,FALSE,Eval,NA,mean
G_fqc,-,numeric,Qg_qc,-,Qg quality control flag,NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
LE_f,W/m2,numeric,Qle,W/m2,Latent heat flux from surface,surface_upward_latent_heat_flux,hfls,-1000,1000,NA,TRUE,Eval,NA,mean
LE_fqc,-,numeric,Qle_qc,-,Qle quality control flag,NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
H_f,W/m2,numeric,Qh,W/m2,Sensible heat flux from surface,surface_upward_sensible_heat_flux,hfss,-1000,1000,NA,TRUE,Eval,NA,mean
H_fqc,-,numeric,Qh_qc,-,Qh quality control flag,NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
NEE_f,umol/m2/s,numeric,NEE,umol/m2/s,Net ecosystem exchange of CO2,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change,nep,-100,100,NA,TRUE,Eval,NA,mean
NEE_f_unc,umol/m2/s,numeric,NEE_uc,umol/m2/s,"Net ecosystem exchange of CO2 uncertainty (Net ecosystem exchange fill only; can be interpreted as an approx. expected value, where random error adds to get the real flux)",NULL,NULL,-200,200,NA,FALSE,Eval,NA,mean
NEE_GPP_qc,-,numeric,NEE_qc,-,GPP/NEE qc flag (values changed to match other qc flags),NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
GPP_f,umol/m2/s,numeric,GPP,umol/m2/s,Gross primary productivity of CO2,gross_primary_productivity_of_carbon,gpp,-200,200,NA,FALSE,Eval,NA,mean
NEE_GPP_qc,-,numeric,GPP_qc,-,GPP/NEE qc flag (values changed to match other qc flags),NULL,NULL,0,5,NA,FALSE,Eval,NA,NA
ustar,m/s,numeric,Ustar,m/s,Friction velocity,NULL,NULL,0,13,NA,FALSE,Eval,NA,mean
