SiteCode,Exclude,Exclude_reason,CABLE_PFT,Description,TowerStatus,Country,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,TowerHeight,CanopyHeight,Tier
AQ-KSe,NA,NA,NA,NA,"Active, core measurements presently being made",Antarctica,King Sejong Station site,-62.23212,-58.80432,NA,NA,Water,NA,NA,NA
AR-Lac,NA,NA,NA,"The pastures are composed mainly by cereal grains, a group of vegetables whose paleontological evidence exhibits clearly its presence since the middle of the Tertiary period.  Towards the Miocene (20 million years) herbaceous ecosystems became more dominant and formed pasture.   This is the first Carbon Flux Measurement Tower to be installed in Argentina, and it will be the most southern one (austral) of the world.  Furthermore, the installation of a second tower in the ‰ÛÏCuÌ±a Boscosa‰Û (in the Santa Fe Province) is expected.  Natural tempered pasture.  Periodic abundant conditions, floods or water saturation.  These pastures grow on different soil types: heavy clay, gredas -> clay loam / clay pits, sand, etc., and they are found in fresh water and brackish water systems.  This region of exclusive characteristics is located in the Department of Vera, Province of Santa Fe, Argentina. This is an area with drainage problems and subject to variations of flood and drought.","Active, core measurements presently being made",Argentina,La Ciguena Santa Fe,-29.264,-61.028,53,CRO,Croplands,NA,NA,NA
AR-SLu,FALSE,NA,NA,NA,NA,Argentina,San Luis,-33.4648,-66.4598,500,MF,Mixed Forests,NA,NA,1
AR-Vir,FALSE,NA,1,NA,NA,Argentina,Virasoro,-28.2395,-56.1886,91,ENF,Evergreen Needleleaf Forests,NA,NA,1
AT-Fue,NA,NA,NA,NA,"Inactive, core measurements no longer being made",Austria,Fuegen,47.36737,11.85471,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
AT-Hnb,NA,NA,1,NA,"Inactive, core measurements no longer being made",Austria,Hallengebirge,47.80333,13.59139,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
AT-Lan,NA,NA,1,"Langenfeld is currently Inactive, core measurements no longer being made.  This site began collecting data in 2005 and is located in Austria.","Inactive, core measurements no longer being made",Austria,Langenfeld,47.06122,10.96345,1396,ENF,Evergreen Needleleaf Forest,NA,NA,NA
AT-Leu,NA,NA,6,"Leutasch is currently Inactive, core measurements no longer being made.  This site began collecting data in 2005 and is located in Austria.","Inactive, core measurements no longer being made",Austria,Leutasch,47.37804,11.16278,1133,GRA,Grasslands,NA,NA,NA
AT-Neu,FALSE,NA,6,"Continuous eddy covariance flux measurements started in March 2001 (previously a pilot study with episodic eddy covariance measurements was conducted during June-December 2000); Bowen-ratio flux measurements have been conducted since June 1999.  Meadow cut 2-3 times a year, montane grassland.  Alpine climate, snow cover duration is approximately 90-120 days/year.  Winter time air temperatures are regularly below -20 degrees C, summer time temperatures may reach 30 degrees C.","Active, core measurements presently being made",Austria,Neustift,47.116669,11.3175,970,GRA,Grasslands,3,NA,1
AT-Rtz,NA,NA,NA,NA,"Inactive, core measurements no longer being made",Austria,Rotholz,47.39472,11.80472,NA,MF,Mixed Forests,NA,NA,NA
AT-Sch,NA,NA,NA,"Schlitters is currently Inactive, core measurements no longer being made.  This site began collecting data in 2005 and is located in Austria.","Inactive, core measurements no longer being made",Austria,Schlitters,47.38729,11.24794,586,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
AT-StA,NA,NA,1,NA,"Inactive, core measurements no longer being made",Austria,Stubai Abandoned,47.12528,11.28944,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
AT-StM,NA,NA,NA,NA,"Inactive, core measurements no longer being made",Austria,Stubai Meadow,47.12889,11.30583,NA,MF,Mixed Forests,NA,NA,NA
AT-StP,NA,NA,1,NA,"Inactive, core measurements no longer being made",Austria,Stubai Pasture,47.13694,11.30361,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
AU-Ade,FALSE,NA,NA,"The Adelaide River flux station was located approximately 10.5km south east of Bachelor, Northern Territory. The flux tower site was classified as Savanna dominated by Eucalyptus tectifica and Planchonia careya. Elevation of the site was close to 90m and mean annual precipitation at a nearby Bureau of Meteorology site is 1730mm. Maximum temperatures range from 31.4å¡C (in June) to 36.8å¡C (in October) while minimum temperatures range from 16.2å¡C (in July) to 25.1å¡C (in December). Maximum temperature vary seasonally by approximately 5.4å¡C and minimum temperatures vary by approximately 8.9å¡C. The instrument mast was 15 meters tall. Heat, water vapour and carbon dioxide measurements were taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation were measured above the canopy. Soil heat fluxes are measured and soil moisture content was gathered using time domain reflectometry.","Inactive, core measurements no longer being made",Australia,Adelaide River,-13.0769,131.1178,165,WSA,Woody Savannas,15,NA,1
AU-ASM,FALSE,NA,1,"The Alice Springs Mulga flux station is located on Pine Hill cattle station, near Alice Springs in the Northern Territory. The woodland is characterised by a mulga (Acacia aneura) canopy, which is 6.5m tall on average. Elevation of the site is 606m above sea level, and the terrain is flat .The extent of the woodland is 11km to the east of the flux station and 16km to the south. The soil is red sandy clay (50:50 sand:clay) overlying a 49m deep water table. Pine Hill Station is a functioning cattle station that has been in operation for longer than 50 years.","Active, core measurements presently being made",Australia,Alice Springs,-22.283,133.249,606,ENF,Evergreen Needleleaf Forests,13.7,6.5,1
AU-Cas,NA,NA,10,"Coastal plain Burdekin River, QLD, sugarcane.  During 1999-2002, a Bowen Ratio Energy Balance system was also located at the site.","Active, core measurements presently being made",Australia,Burdekin Delta,-19.56667,147.4,5,CRO,Croplands,NA,NA,NA
Au-Cow,NA,NA,2,"The Daintree Discovery flux station is located in lowland tropical rainforest at the Daintree Discovery Centre near Cow Bay in Far North Queensland. The site is flanked to the south-west by coastal ranges rising to 400m and to the east by the Coral Sea. The red clay loam podzolic soils are of metamorphic origin and have good drainage characteristics. The Daintree Discovery site is gently sloping but the fetch area makes the site one of very complex terrain. The forest is classed as complex mesophyll vine forest (type 1a) and has an average canopy height of 25m. The dominant canopy trees belong to the Arecaceae, Euphorbiaceae, Rutaceae, Meliaceae, Myristicaceae and Icacinaceae families. It is continuous for several kilometres around the Daintree Tower except for an area 600m north-east of the tower, which is cleared agricultural land used for a cattle farm.","Active, core measurements presently being made",Australia,Cow Bay,-16.23819,145.42715,NA,EBF,Evergreen Broadleaf Forest,NA,NA,NA
