Fluxnet_variable,Fluxnet_unit,Fluxnet_class,Output_variable,Output_unit,Longname,Standard_name,Data_min,Data_max,Essential_met,Preferred_eval,Category,ERAinterim_variable
TA_F_MDS,C,numeric,Tair,K,Near surface air temperature,air_temperature,200,333,TRUE,FALSE,Met,TA_ERA
TA_F_MDS_QC,-,integer,Tair_qc,-,Tair quality control flag,NULL,0,4,FALSE,FALSE,Met,NA
SW_IN_F_MDS,W/m2,numeric,SWdown,W/m2,Surface incident shortwave radiation,surface_downwelling_shortwave_flux_in_air,0,1360,TRUE,FALSE,Met,SW_IN_ERA
SW_IN_F_MDS_QC,-,integer,SWdown_qc,-,SWdown quality control flag,NULL,0,4,FALSE,FALSE,Met,NA
SW_OUT,W/m2,numeric,SWup,W/m2,Reflected shortwave radiation,surface_upwelling_shortwave_flux_in_air,-100,1360,FALSE,FALSE,Eval,NA
SW_OUT_QC,-,integer,SWup_qc,-,SWup quality control flag,NULL,0,3,FALSE,FALSE,Eval,NA
LW_IN_F_MDS,W/m2,numeric,LWdown,W/m2,Surface incident longwave radiation,surface_downwelling_longwave_flux_in_air,0,750,FALSE,FALSE,Met,LW_IN_ERA
LW_IN_F_MDS_QC,-,integer,LWdown_qc,-,LWdown quality control flag,NULL,0,4,FALSE,FALSE,Met,NA
VPD_F_MDS,hPa,numeric,VPD,hPa,Vapour pressure deficit,water_vapor_saturation_deficit_in_air,0,100,TRUE,FALSE,Met,VPD_ERA
VPD_F_MDS_QC,-,integer,VPD_qc,-,VPD quality control flag,NULL,0,4,FALSE,FALSE,Met,NA
PA,kPa,numeric,PSurf,Pa,Surface air pressure,air_pressure,50000,110000,FALSE,FALSE,Met,PA_ERA
P,mm,numeric,Rainf,kg/m2/s,Rainfall rate,precipitation_flux,0,0.05,TRUE,FALSE,Met,P_ERA
WS,m/s,numeric,Wind,m/s,Scalar windspeed,wind_speed,0,75,TRUE,FALSE,Met,WS_ERA
RH,%,numeric,RelH,%,Near surface relative humidity,relative_humidty,0,100,FALSE,FALSE,Met,VPD_ERA
RH,%,numeric,Qair,kg/kg,Near surface specific humidity,specific_humidity,0,0.1,FALSE,FALSE,Met,VPD_ERA
NETRAD,W/m2,numeric,Rnet,W/m2,Net absorbed radiation,surface_net_downward_radiative_flux,-1000,1360,FALSE,TRUE,Eval,NA
NETRAD_QC,-,integer,Rnet_qc,-,Rnet quality control flag,NULL,0,3,FALSE,FALSE,Eval,NA
CO2_F_MDS,umolCO2/mol,numeric,CO2air,ppm,Near surface CO2 concentration,mole_fraction_of_carbon_dioxide_in_air,200,600,FALSE,FALSE,Eval,NA
CO2_F_MDS_QC,-,integer,CO2air_qc,-,CO2air quality control flag,NULL,0,3,FALSE,FALSE,Eval,NA
G_F_MDS,W/m2,numeric,Qg,W/m2,Ground heat flux,upward_heat_flux_at_ground_level_in_soil,-1000,1000,FALSE,FALSE,Eval,NA
G_F_MDS_QC,-,numeric,Qg_qc,-,Qg quality control flag,NULL,0,3,FALSE,FALSE,Eval,NA
LE_F_MDS,W/m2,numeric,Qle,W/m2,Latent heat flux from surface,surface_upward_latent_heat_flux,-1000,1000,FALSE,TRUE,Eval,NA
LE_F_MDS_QC,-,integer,Qle_qc,-,Qle quality control flag,NULL,0,3,FALSE,FALSE,Eval,NA
LE_CORR,W/m2,numeric,Qle_cor,W/m2,"Latent heat flux from surface, corrected for energy balance closure",surface_upward_latent_heat_flux,-1000,1200,FALSE,FALSE,Eval,NA
LE_CORR_JOINTUNC,W/m2,numeric,Qle_cor_uc,W/m2,Qle_cor joint uncertainty,NULL,-1000,1300,FALSE,FALSE,Eval,NA
H_F_MDS,W/m2,numeric,Qh,W/m2,Sensible heat flux from surface,surface_upward_sensible_heat_flux,-1000,1000,FALSE,TRUE,Eval,NA
H_F_MDS_QC,-,integer,Qh_qc,-,Qh quality control flag,NULL,0,3,FALSE,FALSE,Eval,NA
H_CORR,W/m2,numeric,Qh_cor,W/m2,"Sensible heat flux from surface, corrected for energy balance closure",surface_upward_sensible_heat_flux,-1000,1000,FALSE,FALSE,Eval,NA
H_CORR_JOINTUNC,W/m2,numeric,Qh_cor_uc,W/m2,Qh_cor joint uncertainty,NULL,-1000,1000,FALSE,FALSE,Eval,NA
NEE_VUT_REF,umol/m^2/s,numeric,NEE,umol/m2/s,Net ecosystem exchange of CO2 (variable ustar),surface_upward_mole_flux_of_carbon_dioxide,-100,100,FALSE,TRUE,Eval,NA
NEE_VUT_REF_JOINTUNC,umol/m^2/s,numeric,NEE_uc,umol/m2/s,Net ecosystem exchange of CO2 uncertainty (variable ustar),NULL,-100,100,FALSE,FALSE,Eval,NA
GPP_DT_VUT_REF,umol/m^2/s,numeric,GPP_DT,umol/m2/s,"Gross primary productivity of CO2 (variable ustar, daytime partitioning)",gross_primary_productivity_of_biomass_expressed_as_carbon,-100,100,FALSE,FALSE,Eval,NA
GPP_DT_VUT_SE,umol/m^2/s,numeric,GPP_DT_se,umol/m2/s,"Gross primary productivity of CO2 standard error (variable ustar, daytime partitioning)",NULL,-100,100,FALSE,FALSE,Eval,NA
GPP_NT_VUT_REF,umol/m^2/s,numeric,GPP,umol/m2/s,"Gross primary productivity of CO2 (variable ustar, nighttime partitioning)",gross_primary_productivity_of_biomass_expressed_as_carbon,-100,100,FALSE,FALSE,Eval,NA
GPP_NT_VUT_SE,umol/m^2/s,numeric,GPP_se,umol/m2/s,"Gross primary productivity of CO2 standard error (variable ustar, nighttime partitioning)",NULL,-100,100,FALSE,FALSE,Eval,NA
