,SiteCode,Exclude,Exclude_reason,CABLE_PFT,CABLE_patchfrac,Source_CABLE_PFT,Description,TowerStatus,Country,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,Tier,MeasurementHeight,TowerHeight,CanopyHeight,VegetationDescription,SoilType,Disturbance,CropDescription,Irrigation,Reference
1,AQ-KSe,NA,NA,NA,,,NA,"Active, core measurements presently being made",Antarctica,King Sejong Station site,-62.23212,-58.80432,NA,NA,Water,NA,NA,NA,NA,,,,,,
2,AR-Lac,NA,NA,NA,,,"The pastures are composed mainly by cereal grains, a group of vegetables whose paleontological evidence exhibits clearly its presence since the middle of the Tertiary period.  Towards the Miocene (20 million years) herbaceous ecosystems became more dominant and formed pasture.   This is the first Carbon Flux Measurement Tower to be installed in Argentina, and it will be the most southern one (austral) of the world.  Furthermore, the installation of a second tower in the ___�Cu_��a Boscosa_�__ (in the Santa Fe Province) is expected.  Natural tempered pasture.  Periodic abundant conditions, floods or water saturation.  These pastures grow on different soil types: heavy clay, gredas -> clay loam / clay pits, sand, etc., and they are found in fresh water and brackish water systems.  This region of exclusive characteristics is located in the Department of Vera, Province of Santa Fe, Argentina. This is an area with drainage problems and subject to variations of flood and drought.","Active, core measurements presently being made",Argentina,La Ciguena Santa Fe,-29.264,-61.028,53,CRO,Croplands,NA,NA,NA,NA,,,,,,
3,AR-SLu,FALSE,NA,5,1,"Anna (see ref, picture in particular)",NA,NA,Argentina,San Luis,-33.4648,-66.4598,500,MF,Mixed Forests,1,11,11,5,Native forest vegetation. Trees which coexist with bush and herbaceous strata,Calcareous soil with scarce OM,NA,NA,NA,"Ulke, A. G., Gattinoni, N. N. and Posse, G.: Analysis and modelling of turbulent fluxes in two different ecosystems in Argentina, Int. J. Environ. Pollut., 58(1-2), 52–62, 2015."
4,AR-Vir,FALSE,NA,1,1,IGBP,NA,NA,Argentina,Virasoro,-28.2395,-56.1886,91,ENF,Evergreen Needleleaf Forests,1,18,32,12,Commercial Pinus taeda plantation,"Ultisols with clayish textures, good drainage, depth of about 150 cm.",Plantation replaced natural grasslands (2003). Pruning in Sept 2018. Sanitary pruning in Oct 2010 due to infestation by wood wasp Sirex noctillio.,Pinus taeda,NA,"Posse, G., Lewczuk, N., Richter, K. and Cristiano, P.: Carbon and water vapor balance in a subtropical pine plantation, iForest, 9(5), 736–742, 2016."
5,AT-Fue,NA,NA,NA,,,NA,"Inactive, core measurements no longer being made",Austria,Fuegen,47.36737,11.85471,1109,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA,NA,,,,,,
6,AT-Hnb,NA,NA,1,1,IGBP,NA,"Inactive, core measurements no longer being made",Austria,Hallengebirge,47.80333,13.59139,1178,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
7,AT-Lan,NA,NA,1,1,IGBP,"Langenfeld is currently Inactive, core measurements no longer being made.  This site began collecting data in 2005 and is located in Austria.","Inactive, core measurements no longer being made",Austria,Langenfeld,47.06122,10.96345,1396,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
8,AT-Leu,NA,NA,,,,"Leutasch is currently Inactive, core measurements no longer being made.  This site began collecting data in 2005 and is located in Austria.","Inactive, core measurements no longer being made",Austria,Leutasch,47.37804,11.16278,1133,GRA,Grasslands,NA,NA,NA,NA,,,,,,
9,AT-Neu,FALSE,NA,6,1,Juergen,"Continuous eddy covariance flux measurements started in March 2001 (previously a pilot study with episodic eddy covariance measurements was conducted during June-December 2000); Bowen-ratio flux measurements have been conducted since June 1999.  Meadow cut 2-3 times a year, montane grassland.  Alpine climate, snow cover duration is approximately 90-120 days/year.  Winter time air temperatures are regularly below -20 degrees C, summer time temperatures may reach 30 degrees C.","Active, core measurements presently being made",Austria,Neustift,47.116669,11.3175,970,GRA,Grasslands,1,3,3,1,"Pastinaco-Arrhenatheretum. Few dominant graminoid (Dactylis glomerata, Festuca pratensis, Phleum pratensis, Trisetum flavescens) and forb (Ranunculus acris, Taraxacum officinale, Trifolium repens, Trifolium pratense, Carum carvi) species.","Fluvisol (FAO classification) and is approximately 1 m deep. Below a thin (0.001 m) organic layer, an A horizon, with an organic volume fraction of approximately 14%, extends down to 0.02 m, followed by the B horizon, which is best described as a (sandy) loam. Roots reach down to 0.5 m, but 80% of them are concentrated in the upper 0.13 m of the soil.",NA,NA,NA,"Wohlfahrt, G., Hammerle, A., Haslwanter, A., Bahn, M., Tappeiner, U. and Cernusca, A.: Seasonal and inter-annual variability of the net ecosystem CO2 exchange of a temperate mountain grassland: Effects of weather and management, J. Geophys. Res., 113(D8), D08110, 2008."
10,AT-Rtz,NA,NA,NA,,,NA,"Inactive, core measurements no longer being made",Austria,Rotholz,47.39472,11.80472,508,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
11,AT-Sch,NA,NA,NA,,,"Schlitters is currently Inactive, core measurements no longer being made.  This site began collecting data in 2005 and is located in Austria.","Inactive, core measurements no longer being made",Austria,Schlitters,47.38729,11.24794,586,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA,NA,,,,,,
12,AT-StA,NA,NA,1,1,IGBP,NA,"Inactive, core measurements no longer being made",Austria,Stubai Abandoned,47.12528,11.28944,1016,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
13,AT-StM,NA,NA,NA,,,NA,"Inactive, core measurements no longer being made",Austria,Stubai Meadow,47.12889,11.30583,966,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
14,AT-StP,NA,NA,1,1,IGBP,NA,"Inactive, core measurements no longer being made",Austria,Stubai Pasture,47.13694,11.30361,966,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
15,AU-Ade,FALSE,NA,NA,,,"The Adelaide River flux station was located approximately 10.5km south east of Bachelor, Northern Territory. The flux tower site was classified as Savanna dominated by Eucalyptus tectifica and Planchonia careya. Elevation of the site was close to 90m and mean annual precipitation at a nearby Bureau of Meteorology site is 1730mm. Maximum temperatures range from 31.4__�C (in June) to 36.8__�C (in October) while minimum temperatures range from 16.2__�C (in July) to 25.1__�C (in December). Maximum temperature vary seasonally by approximately 5.4__�C and minimum temperatures vary by approximately 8.9__�C. The instrument mast was 15 meters tall. Heat, water vapour and carbon dioxide measurements were taken using the open-path eddy flux technique. Temperature, humidity, wind speed, wind direction, rainfall, incoming and reflected shortwave radiation and net radiation were measured above the canopy. Soil heat fluxes are measured and soil moisture content was gathered using time domain reflectometry.","Inactive, core measurements no longer being made",Australia,Adelaide River,-13.0769,131.1178,165,WSA,Woody Savannas,1,NA,21,16.4,"Tropical Eucalypt woodland. Eucalyptus tectifica, Planchonia careya, Buchanania obovota",Red kandosol,NA,NA,NA,"Beringer, J., Hacker, J., Hutley, L. B., Leuning, R., Arndt, S. K., Amiri, R., Bannehr, L., Cernusak, L., Grover, S., Hensley, C., Hocking, D., Isaac, P., Jamali, H., Kanniah, K., Livesley, S., Neininger, B., Tha Paw U, K., Sea, W., Straten, D., Tapper, N., Weinmann, R., Wood, S. and Zegelin, S.: SPECIAL—Savanna Patterns of Energy and Carbon Integrated across the Landscape, Bull. Am. Meteorol. Soc., 92(11), 1467–1485, 2011b."
16,AU-ASM,FALSE,NA,1,1,IGBP,"The Alice Springs Mulga flux station is located on Pine Hill cattle station, near Alice Springs in the Northern Territory. The woodland is characterised by a mulga (Acacia aneura) canopy, which is 6.5m tall on average. Elevation of the site is 606m above sea level, and the terrain is flat .The extent of the woodland is 11km to the east of the flux station and 16km to the south. The soil is red sandy clay (50:50 sand:clay) overlying a 49m deep water table. Pine Hill Station is a functioning cattle station that has been in operation for longer than 50 years.","Active, core measurements presently being made",Australia,Alice Springs,-22.283,133.249,606,ENF,Evergreen Needleleaf Forests,1,11.6,13.7,6.5,"Mulga savanna woodland. Acacia aneura var. aneura, A. aneura var. intermedia, and A. aneura var. tenuis. Psydrax latifolia, Eremophila gilesii, E. latrobei ssp glabra (Crimson turkey bush), Sida and Abutilon spp., and Solanum ellipticum (Potato bush). The dominant grasses form a nearly complete cover when conditions permit and include perennials Thyridolepis mitchelliana (Window mulga grass), Eragrostis eriopoda (Naked woolybutt grass), and annual Eriachne pulchella ssp pulchella (Pretty wanderrie).","The soil is a heavily weathered red kandosol, which is typical of large portions of semi-arid Australia and has a high potential for drainage. The surface bulk density is 1.69 +/- 0.02 g cm-3. Soil texture is a sandy loam (74/11/15% sand/silt/clay), and depth to groundwater is 49 m. Soil organic matter content (g) in 100 g of soil is equal to 1.1% at the surface and declines to 0.7 +/- 0.1% at 1 m deep. The minimal soil organic matter content (0.5%) was observed where hardpan was encountered. Bare soil patches are likely surface expressions of the hardpan. Hardpan formation in the top meter, and possibly deeper, is commonly observed with this type of soil. Variability in the depth of the hardpan implies that root development, near-surface storage of soil moisture, and infiltration are spatially heterogeneous in this flat (slope = 0.2%) landscape.",NA,NA,NA,"Cleverly, J., Boulain, N., Villalobos-Vega, R., Grant, N., Faux, R., Wood, C., Cook, P. G., Yu, Q., Leigh, A. and Eamus, D.: Dynamics of component carbon fluxes in a semi-arid Acacia woodland, central Australia, J. Geophys. Res. Biogeosci., 118(3), 1168–1185, 2013."
17,AU-Boy,FALSE,NA,2,1,Anna (based on site info on OzFlux website),"The Boyagin Wandoo Woodland flux station is located in the wheatbelt of Western Australia about 200km southeast from Perth, Western Australia (GPS coordinates: -32.477093, 116.938559; elevation 484m).",NA,Australia,Boyagin Wandoo Woodland,-32.477093,116.938559,484,EBF,Evergreen Broadleaf Forests,NA,NA,30,13,,,,,,
18,AU-Cas,NA,NA,10,,,,"Active, core measurements presently being made",Australia,Burdekin Delta,-19.56667,147.4,5,CRO,Croplands,NA,NA,NA,NA,,,,,,
19,AU-Col,FALSE,NA,2,1,Anna (based on site info on OzFlux website),"The Collie flux stationis was located approximately 10km southeast of Collie, near Perth, Western Australia (GPS coordinates: -33.420, 116.237; elevation 384m)",NA,Australia,Collie,-33.42,116.237,384,EBF,Evergreen Broadleaf Forests,NA,35,35,12,,,,,,
20,AU-Cow,NA,NA,2,1,IGBP,,"Active, core measurements presently being made",Australia,Cow Bay,-16.23819,145.42715,86,EBF,Evergreen Broadleaf Forest,NA,35,NA,26,"The forest is classified as complex mesophyll vine forest, there are 94 species in the core 1Ha, and average tree height is 22m. Elevation of the site is 90m and mean annual precipitation is 3935mm. The Daintree Rainforest is one of the most biodiverse forests in Australia. ",,,,,
21,AU-Cpr,FALSE,NA,"2,6,7,14","0.08,0.62,0.06,0.24","Anna (fractions based on MODIS treefrac and nonveg, C4 frac from ISLSCP II)",The flux tower site was located within an area of wandoo woodland. Elevation of the site was close to 384 m. Climate information came from the nearby Collie BoM AWS station 009628 (1899 to present) and shows mean annual precipitation was approximately 933 mm with highest rainfall in June and July of ~176 mm each month.,"Active, core measurements presently being made",Australia,Calperum,-34.00206,140.58912,76,SAV,Savannas,1,20,20,3,"Mallee vegetation. Upper storey Eucalypt trees of four species (Eucalyptus dumosa, Eucalyptus incrassata, Eucalyptus oleosa and Eucalyptus socialis)",Orthic Tenosol,NA,NA,NA,"Meyer, W. S., Kondrlovà, E. and Koerber, G. R.: Evaporation of perennial semi-arid woodland in southeastern Australia is adapted for irregular but common dry periods, Hydrol. Process., 29(17), 3714–3726, 2015."
22,AU-Ctr,NA,NA,2,1,IGBP,,"Active, core measurements presently being made",Australia,Cape Tribulation,-16.10328,145.44686,66,EBF,Evergreen Broadleaf Forest,NA,45,48.5,25,"The forest is classed as complex mesophyll vine forest (type 1a) and has an average canopy' height of 25m. The dominant canopy trees belong to the Apocynaceae, Arecaceae, Euphorbiaceae, Lauraceae, Meliaceae, Myristicaceae and Myrtaceae families. The forest is continuous for several kilometres around the crane except for an area 300m due east of the crane, which is regrowth forest.",,,,,
23,AU-Cum,FALSE,NA,2,1,IGBP,"Maximum temperatures range from 30.5�C (in Jan) to 15.5�C (in July), while minimum temperatures range from 4.2�C (in July) to 13.2 �C (in Jan).","Active, core measurements presently being made",Australia,Cumberland Plains,-33.613297,150.722466,200,EBF,Evergreen Broadleaf Forests,1,30,30,24,"Dry sclerophyll forest. The canopy is dominated by Eucalyptus moluccana and Eucalyptus fibrosa, which host an expanding population of mistletoe.",Clayey ,NA,NA,NA,"Beringer, J., Hutley, L. B., McHugh, I., Arndt, S. K., Campbell, D., Cleugh, H. A., Cleverly, J., Resco de Dios, V., Eamus, D., Evans, B., Ewenz, C., Grace, P., Griebel, A., Haverd, V., Hinko-Najera, N., Huete, A., Isaac, P., Kanniah, K., Leuning, R., Liddell, M. J., Macfarlane, C., Meyer, W., Moore, C., Pendall, E., Phillips, A., Phillips, R. L., Prober, S. M., Restrepo-Coupe, N., Rutledge, S., Schroder, I., Silberstein, R., Southall, P., Yee, M. S., Tapper, N. J., Gorsel, E. van, Vote, C., Walker, J. and"
